epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1057,1.22455,1.8554,1.40624,0.58006,0.3975,0.39795,0.24962,1.02758,0.8667,1.20324,0.00330065,0.00330065,0.00330065
2,150.887,1.11109,1.03302,1.25104,0.44764,0.43012,0.41817,0.2537,1.12499,1.00606,1.27495,0.00660115,0.00660115,0.00660115
3,215.983,1.17621,1.07201,1.28753,0.4265,0.33582,0.32885,0.18776,1.33731,1.64001,1.57601,0.00986864,0.00986864,0.00986864
4,281.32,1.23915,1.14664,1.33515,0.49692,0.32645,0.34335,0.19496,1.33011,1.99816,1.53856,0.0098515,0.0098515,0.0098515
5,346.228,1.21864,1.10175,1.32378,0.53104,0.39393,0.39807,0.23593,1.22116,1.14097,1.39249,0.009802,0.009802,0.009802
6,411.237,1.18904,1.05233,1.30386,0.54537,0.40612,0.41549,0.24997,1.18724,1.16902,1.34836,0.0097525,0.0097525,0.0097525
7,476.11,1.15922,1.00024,1.28482,0.57391,0.36468,0.39243,0.23316,1.2625,1.20998,1.40772,0.009703,0.009703,0.009703
8,540.861,1.14234,0.97143,1.27358,0.56755,0.44741,0.47133,0.28847,1.1472,0.97188,1.31401,0.0096535,0.0096535,0.0096535
9,605.635,1.13117,0.94783,1.26902,0.60414,0.45974,0.50435,0.30913,1.13406,0.88419,1.28755,0.009604,0.009604,0.009604
10,670.543,1.11238,0.9267,1.25752,0.56866,0.49904,0.49447,0.30608,1.09856,0.88177,1.27421,0.0095545,0.0095545,0.0095545
11,735.178,1.09612,0.90212,1.24983,0.59181,0.52779,0.52937,0.3307,1.084,0.82623,1.26118,0.009505,0.009505,0.009505
12,800.001,1.08216,0.87762,1.23849,0.67208,0.47457,0.52271,0.32454,1.09364,0.84373,1.26703,0.0094555,0.0094555,0.0094555
13,864.635,1.06974,0.86134,1.22989,0.63644,0.47984,0.51668,0.32351,1.0768,0.8219,1.25109,0.009406,0.009406,0.009406
14,929.521,1.06324,0.84628,1.22373,0.66257,0.49979,0.54495,0.34552,1.06585,0.80047,1.24117,0.0093565,0.0093565,0.0093565
15,994.251,1.05088,0.83021,1.21564,0.62335,0.51454,0.54197,0.34283,1.06235,0.77777,1.23719,0.009307,0.009307,0.009307
16,1059.06,1.04239,0.8161,1.20946,0.67636,0.52602,0.55495,0.3512,1.04323,0.76329,1.22773,0.0092575,0.0092575,0.0092575
17,1123.73,1.03188,0.8022,1.2016,0.68061,0.52858,0.57051,0.35985,1.05961,0.77123,1.23415,0.009208,0.009208,0.009208
18,1188.51,1.02039,0.78715,1.19938,0.71129,0.52539,0.58696,0.37189,1.03025,0.74346,1.22082,0.0091585,0.0091585,0.0091585
19,1253.32,1.01358,0.77756,1.19487,0.67463,0.51572,0.5593,0.35276,1.07678,0.80267,1.25818,0.009109,0.009109,0.009109
20,1318.22,1.00905,0.76592,1.18871,0.69156,0.54032,0.58982,0.3803,1.02339,0.72449,1.21266,0.0090595,0.0090595,0.0090595
21,1382.91,0.99665,0.75297,1.18135,0.6561,0.55841,0.59811,0.37964,1.03043,0.7331,1.2207,0.00901,0.00901,0.00901
22,1447.94,0.99395,0.74874,1.17774,0.68101,0.55458,0.58562,0.37805,1.02365,0.73026,1.2155,0.0089605,0.0089605,0.0089605
23,1512.56,0.98256,0.73287,1.17094,0.66041,0.55825,0.58564,0.37573,1.01387,0.71555,1.20592,0.008911,0.008911,0.008911
24,1577.1,0.97856,0.73463,1.16991,0.72733,0.53256,0.5956,0.37983,1.02449,0.7157,1.21925,0.0088615,0.0088615,0.0088615
25,1641.64,0.97557,0.71763,1.16366,0.67172,0.54766,0.58451,0.37592,1.02663,0.71954,1.21585,0.008812,0.008812,0.008812
26,1706.22,0.96783,0.71331,1.16041,0.64395,0.583,0.59706,0.38708,1.01197,0.71378,1.20373,0.0087625,0.0087625,0.0087625
27,1770.96,0.95978,0.69947,1.15384,0.69801,0.55845,0.59945,0.38502,1.01192,0.70915,1.20334,0.008713,0.008713,0.008713
28,1835.34,0.95528,0.69412,1.15015,0.71553,0.55802,0.5973,0.38497,1.01779,0.71501,1.20635,0.0086635,0.0086635,0.0086635
29,1899.82,0.94909,0.68978,1.15131,0.7106,0.55703,0.60171,0.38793,1.01022,0.6989,1.20174,0.008614,0.008614,0.008614
30,1964.46,0.94287,0.68471,1.14677,0.69317,0.54385,0.59095,0.38764,1.01649,0.69815,1.20761,0.0085645,0.0085645,0.0085645
31,2029.13,0.93909,0.67805,1.14466,0.73797,0.54255,0.60716,0.39322,0.99344,0.68028,1.19074,0.008515,0.008515,0.008515
32,2093.94,0.93434,0.66851,1.14098,0.68091,0.5765,0.60722,0.39099,1.00018,0.69996,1.19074,0.0084655,0.0084655,0.0084655
33,2158.62,0.93089,0.66222,1.13518,0.66048,0.57634,0.6003,0.39164,1.00543,0.69106,1.19396,0.008416,0.008416,0.008416
34,2223.26,0.92182,0.65486,1.13306,0.73007,0.57244,0.61411,0.40193,0.98538,0.67423,1.1964,0.0083665,0.0083665,0.0083665
35,2287.97,0.92036,0.65272,1.13299,0.76942,0.56287,0.62415,0.40318,0.99964,0.67683,1.19143,0.008317,0.008317,0.008317
36,2352.5,0.91473,0.64126,1.12332,0.69622,0.5787,0.61908,0.40166,0.99405,0.67685,1.1896,0.0082675,0.0082675,0.0082675
37,2417.06,0.90777,0.64022,1.12437,0.73478,0.58582,0.63287,0.41162,0.99068,0.67297,1.19256,0.008218,0.008218,0.008218
38,2481.64,0.91146,0.63614,1.1177,0.70213,0.5824,0.6155,0.40301,1.00131,0.67465,1.1908,0.0081685,0.0081685,0.0081685
39,2546.08,0.90109,0.62768,1.11572,0.70834,0.56663,0.61432,0.40255,0.9983,0.67805,1.20686,0.008119,0.008119,0.008119
40,2610.54,0.90165,0.62404,1.11737,0.74597,0.58071,0.64104,0.41913,0.98883,0.66809,1.1871,0.0080695,0.0080695,0.0080695
41,2675.21,0.8919,0.62222,1.11015,0.74616,0.57297,0.61727,0.40418,0.99182,0.66973,1.18778,0.00802,0.00802,0.00802
42,2739.66,0.88738,0.61459,1.10839,0.76804,0.56732,0.62127,0.40595,0.99619,0.66233,1.1998,0.0079705,0.0079705,0.0079705
43,2804.15,0.88922,0.61521,1.11073,0.7377,0.58326,0.62332,0.41005,0.97878,0.65185,1.17836,0.007921,0.007921,0.007921
44,2868.77,0.88454,0.61023,1.10668,0.71376,0.59592,0.64168,0.41948,0.98068,0.65526,1.17819,0.0078715,0.0078715,0.0078715
45,2933.29,0.8779,0.60581,1.10532,0.76399,0.55468,0.62366,0.41018,0.9848,0.65636,1.19592,0.007822,0.007822,0.007822
46,2997.75,0.8797,0.60365,1.10556,0.70905,0.5895,0.63292,0.4173,0.98508,0.66601,1.19746,0.0077725,0.0077725,0.0077725
47,3062.15,0.86923,0.59488,1.09833,0.72963,0.58782,0.63966,0.41981,0.98123,0.65571,1.18727,0.007723,0.007723,0.007723
48,3126.64,0.86661,0.59002,1.09676,0.75387,0.58789,0.63577,0.4165,0.99161,0.65502,1.1892,0.0076735,0.0076735,0.0076735
49,3191.26,0.86467,0.58885,1.09803,0.77662,0.59199,0.65104,0.43046,0.98393,0.65206,1.187,0.007624,0.007624,0.007624
50,3255.78,0.85845,0.58299,1.09106,0.73238,0.60173,0.64722,0.42894,0.97973,0.64684,1.19038,0.0075745,0.0075745,0.0075745
51,3320.11,0.859,0.57899,1.08974,0.7511,0.57722,0.64182,0.42298,0.97999,0.65204,1.18435,0.007525,0.007525,0.007525
52,3384.53,0.85102,0.57689,1.09098,0.72505,0.60314,0.63591,0.41766,0.98988,0.64057,1.19038,0.0074755,0.0074755,0.0074755
53,3449.03,0.84854,0.57496,1.0892,0.72022,0.59801,0.63737,0.42132,0.98149,0.64287,1.1995,0.007426,0.007426,0.007426
54,3513.33,0.84662,0.56988,1.08525,0.7269,0.60047,0.6409,0.42344,0.98083,0.64309,1.1873,0.0073765,0.0073765,0.0073765
55,3577.77,0.84191,0.5651,1.08025,0.74502,0.58506,0.63457,0.42242,0.98083,0.63559,1.18027,0.007327,0.007327,0.007327
56,3642.1,0.83782,0.56525,1.08159,0.71443,0.60677,0.64346,0.42366,0.98328,0.64949,1.19376,0.0072775,0.0072775,0.0072775
57,3706.44,0.83673,0.56321,1.08284,0.7535,0.60783,0.65142,0.43423,0.97486,0.62946,1.18639,0.007228,0.007228,0.007228
58,3771.13,0.83248,0.55357,1.07765,0.75774,0.59703,0.64673,0.42798,0.976,0.64085,1.19151,0.0071785,0.0071785,0.0071785
59,3835.45,0.83262,0.55408,1.07655,0.77537,0.58592,0.65023,0.43247,0.97143,0.62953,1.18957,0.007129,0.007129,0.007129
60,3899.79,0.82545,0.55065,1.07323,0.73008,0.59643,0.64328,0.42669,0.98012,0.63847,1.19532,0.0070795,0.0070795,0.0070795
61,3964.15,0.82801,0.54621,1.0711,0.72635,0.6156,0.64685,0.43167,0.97381,0.63294,1.18304,0.00703,0.00703,0.00703
62,4028.74,0.82133,0.54763,1.06941,0.73444,0.60925,0.64803,0.43211,0.97499,0.64873,1.18669,0.0069805,0.0069805,0.0069805
63,4092.99,0.82198,0.54296,1.07051,0.76933,0.60714,0.66258,0.44162,0.97923,0.63342,1.19514,0.006931,0.006931,0.006931
64,4157.43,0.81764,0.54267,1.06702,0.73245,0.61016,0.65099,0.43133,0.96998,0.62416,1.18907,0.0068815,0.0068815,0.0068815
65,4221.73,0.81116,0.53366,1.06225,0.7299,0.60713,0.65325,0.43581,0.9753,0.63256,1.19408,0.006832,0.006832,0.006832
66,4285.99,0.81245,0.53372,1.05976,0.76214,0.60134,0.65308,0.43888,0.97061,0.63215,1.18597,0.0067825,0.0067825,0.0067825
67,4350.32,0.8071,0.53077,1.0626,0.75694,0.60736,0.65435,0.4373,0.9691,0.61674,1.18925,0.006733,0.006733,0.006733
68,4414.56,0.80178,0.52902,1.06102,0.76421,0.60337,0.66332,0.44232,0.96578,0.62622,1.18221,0.0066835,0.0066835,0.0066835
69,4478.95,0.80023,0.52623,1.05694,0.78977,0.60451,0.66413,0.4424,0.96758,0.61901,1.18633,0.006634,0.006634,0.006634
70,4543.26,0.79992,0.52249,1.05438,0.72394,0.62653,0.66062,0.43772,0.97217,0.61887,1.18967,0.0065845,0.0065845,0.0065845
71,4607.36,0.79446,0.51793,1.04973,0.74226,0.61248,0.65756,0.43908,0.96803,0.621,1.18316,0.006535,0.006535,0.006535
72,4671.44,0.79198,0.51657,1.05223,0.7344,0.61268,0.65491,0.44079,0.96731,0.62562,1.1858,0.0064855,0.0064855,0.0064855
73,4735.44,0.79114,0.51932,1.05233,0.7303,0.61842,0.65378,0.44046,0.96497,0.62183,1.18327,0.006436,0.006436,0.006436
74,4799.49,0.78833,0.51482,1.04943,0.72378,0.62549,0.65797,0.4417,0.96229,0.624,1.18124,0.0063865,0.0063865,0.0063865
75,4863.57,0.78372,0.50859,1.0454,0.73011,0.61288,0.66002,0.44263,0.96635,0.62548,1.18531,0.006337,0.006337,0.006337
76,4927.91,0.78108,0.50628,1.04587,0.7569,0.61676,0.66235,0.44257,0.96709,0.61773,1.18899,0.0062875,0.0062875,0.0062875
77,4991.87,0.77564,0.5038,1.04322,0.7674,0.6164,0.66893,0.44354,0.96445,0.62123,1.18659,0.006238,0.006238,0.006238
78,5056.05,0.77785,0.50458,1.04586,0.79367,0.60371,0.66139,0.43977,0.96495,0.62256,1.18873,0.0061885,0.0061885,0.0061885
79,5120.07,0.77271,0.50002,1.04178,0.75437,0.6112,0.65978,0.44417,0.96635,0.62056,1.1891,0.006139,0.006139,0.006139
