Class,Precision,Recall,AP50,AP50-95,F1-Score,Support
ear,0.9658536585365853,0.6141439205955335,0.790604361259069,0.5691778700541128,0.7508527670968207,1025
earmuffs,0.85,0.3469387755102041,0.6091387166215172,0.4249747536995122,0.49275321151053086,20
face,0.9787367104440275,0.8436657681940701,0.9169402793735196,0.742594928470443,0.9061952178598478,1599
face-guard,0.8888888888888888,0.3333333333333333,0.6297999999999999,0.5084139541629007,0.48484808815459457,9
face-mask-medical,0.9345794392523364,0.6622516556291391,0.8063568582221359,0.5831598955823785,0.7751933129923119,107
foot,0.75,0.06040268456375839,0.4102631006493507,0.23899377740176858,0.11180110427855455,12
glasses,0.9295774647887324,0.49748743718592964,0.7089923220357046,0.47703058416359606,0.6481173854460875,213
gloves,0.8995983935742972,0.42344045368620037,0.667281301327,0.48987366743725386,0.5758350403417225,249
hands,0.9478802022559315,0.7587173100871731,0.8625317583286473,0.6593332142342516,0.8428146539904157,2571
head,0.9675141242937854,0.8467243510506799,0.9114830464591913,0.7563303204286794,0.903097722388032,2124
helmet,0.8411214953271028,0.5844155844155844,0.7198628291449211,0.5923540604667672,0.6896546886279284,107
medical-suit,0.8148148148148148,0.5116279069767442,0.6319766381766382,0.4242924747429232,0.6285709546942349,27
person,0.9484492875104777,0.8277249451353328,0.888703806131233,0.780106231472705,0.8839838773101557,2386
safety-suit,0.64,0.35555555555555557,0.5474905172413794,0.3804815075240021,0.45714239795964495,25
safety-vest,0.7916666666666666,0.3917525773195876,0.5713526829266425,0.3994050130435977,0.5241374881335491,48
shoes,0.9240780911062907,0.4456066945606695,0.693043751562844,0.4879905463623807,0.6012698503595785,461
tools,0.7685589519650655,0.19068255687973998,0.47787101959885103,0.36086803524895383,0.3055552370171748,229
